"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelected","Testing Link Checkboxes","Testing Link Checkboxes 1"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights3","Validating Search resrch result","Search Flights 3"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateHotelIsSelected2","Testing Link Broken 2","Testing Link Broken 2"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights2","Validating Search resrch result","Search Flights 2"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights","Validating Search resrch result","Search Flights"
"broken","Wed Jul 24 17:05:24 GMT 2024","Wed Jul 24 17:05:54 GMT 2024","30282","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_2nd","validate the Sorting works 2","Search Product in Amazon2"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateOfferesIsSelectedNegative","Testing Link Checkboxes Negative","Testing Link Checkboxes negative"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","2","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchFlights4","Validating Search resrch result","Search Flights 4"
"broken","Wed Jul 24 17:05:43 GMT 2024","Wed Jul 24 17:05:53 GMT 2024","10053","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct","validate the Sorting works","Search Product in Amazon"
"broken","Wed Jul 24 17:05:24 GMT 2024","Wed Jul 24 17:05:34 GMT 2024","10063","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","searchProduct_3rd","validate the Sorting works 3","Search Product in Amazon3"
"unknown","Wed Jul 24 17:05:00 GMT 2024","Wed Jul 24 17:05:00 GMT 2024","0","Suite","chrome","com.tests.ValidationEpic1","com.tests.ValidationEpic1","validateBrokenIsSelected","Testing Link Broken",""
